,Assam,Bangalore,Chennai,Coimbatore,Delhi,Gurgaon,Kanyakumari,Kolkotta,Mumbai,Pune,Sikkim
Assam,0,,,,,,,,,,
Bangalore,2987,0,,,,,,,,,
Chennai,2782,346,0,,,,,,,,
Coimbatore,3238,356,420,0,,,,,,,
Delhi,2037,1740,1760,1960,0,,,,,,
Gurgaon,2040,2165,2201,2531,43,0,,,,,
Kanyakumari,3475,546,625,331,2817,2821,0,,,,
Kolkotta,1136,1876,1366,2130,1447,1491,2371,0,,,
Mumbai,2927,981,1335,998,1409,1376,1655,1967,0,,
Pune,2936,734,912,1086,1173,1148,1512,1575,149,0,
Sikkim,721,2554,2343,2804,1608,1612,3038,700,2490,2499,0
